icpsr,candidate,chamber,state_dist,cand_party,party_code,candidate_is_incumbent,location,partisanship,incumbent_rep,incumbent_party,incumbent_elected,incumbent_status,congress,bioname,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,senate_class,new_class_code_senate,text_stem,screen_name,official_screen_name,alternate_names,first_name,special_name,candidate_encoding_issues,GeneralElec
712010003,Adam Bolaños Scow,House,CA-20,D,100,0,California 20,D+23,Jimmy Panetta,Democratic,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-20-scow_adambolaños-,NA,NA,Adam Scow,Adam,mid_name,NA,
430310003,Adam Christensen,House,FL-03,D,100,0,Florida 3,R+9,Ted Yoho,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-03-christensen_adam-,@AC4Congress2020,NA,Adam Christensen,Adam,first_last,NA,
431510003,Adam Hattersley,House,FL-15,D,100,0,Florida 15,R+6,Ross Spano,Republican,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-15-hattersley_adam-,@HattersleyforFL,NA,Adam Hattersley,Adam,first_last,NA,
21128,Adam Kinzinger,House,IL-16,R,200,1,Illinois 16,R+8,Adam Kinzinger,Republican,2010,Incumbent running.,NA,"KINZINGER, Adam",K000378,1978,0.274,0.309,-120.96716,0.82704,637,53,0.296,0.216,NA,NA,IL-16-kinzinger_adam-,@AdamKinzinger,@RepKinzinger,Adam Kinzinger,Adam,first_last,NA,
131710017,Adam Schleifer,House,NY-17,D,100,0,New York 17,D+7,Nita Lowey,Democratic,1988,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-17-schleifer_adam-,@AdamSchleiferNY,NA,Adam Schleifer,Adam,first_last,NA,
29768,Adam Smith,House,WA-09,D,100,1,Washington 9,D+21,Adam Smith,Democratic,1996,Incumbent's intent unknown.,NA,"SMITH, Adam",S000510,1965,-0.284,-0.161,-14.56506,0.97846,669,7,-0.358,-0.322,NA,NA,WA-09-smith_adam-,@electadamsmith,@RepAdamSmith,Adam Smith,Adam,first_last,NA,
441110005,Adam Wynn,House,GA-11,D,100,0,Georgia 11,R+17,Barry Loudermilk,Republican,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-11-wynn_adam-,@AWynnForGA,NA,Adam Wynn,Adam,first_last,NA,
340320004,Adela Wisdom,House,MO-03,R,200,0,Missouri 3,R+18,Blaine Luetkemeyer,Republican,2008,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO-03-wisdom_adela-,@AdelaWisdom,NA,Adela Wisdom,Adela,first_last,NA,
130910001,Adem Bunkeddeko,House,NY-09,D,100,0,New York 9,D+34,Yvette Clarke,Democratic,2006,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-09-bunkeddeko_adem-,@adembunkeddeko,NA,Adem Bunkeddeko,Adem,first_last,NA,
410310002,Adia Winfrey,House,AL-03,D,100,0,Alabama 3,R+16,Mike Rogers,Republican,2002,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL-03-winfrey_adia-,@drdia,NA,Adia Winfrey,Adia,first_last,NA,
520710019,Adrian Petrus,House,MD-07,D,100,0,Maryland 7,D+26,Vacant,Vacant,2020,Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD-07-petrus_adrian-,@petrusadrian,NA,Adrian Petrus,Adrian,first_last,NA,
20729,Adrian Smith,House,NE-03,R,200,1,Nebraska 3,R+27,Adrian Smith,Republican,2006,Incumbent running.,NA,"SMITH, Adrian",S001172,1970,0.516,0.186,-93.06516,0.87192,679,42,0.56,0.244,NA,NA,NE-03-smith_adrian-,@RepAdrianSmith,NA,Adrian Smith,Adrian,first_last,NA,
21715,Adriano Espaillat,House,NY-13,D,100,1,New York 13,D+43,Adriano Espaillat,Democratic,2016,Incumbent's intent unknown.,NA,"ESPAILLAT, Adriano J.",E000297,1954,-0.616,-0.141,-18.1012,0.97381,682,7,-0.499,-0.575,NA,NA,NY-13-espaillat_adriano-,@EspaillatNY,@RepEspaillat,Adriano Espaillat,Adriano,first_last,NA,
491410002,Adrienne Bell,House,TX-14,D,100,0,Texas 14,R+12,Randy Weber,Republican,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-14-bell_adrienne-,@AdrBell,NA,Adrienne Bell,Adrienne,first_last,NA,
20220001,Adrienne Bennett,House,ME-02,R,200,0,Maine 2,R+2,Jared Golden,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ME-02-bennett_adrienne-,@AdrienneMaine,NA,Adrienne Bennett,Adrienne,first_last,NA,
320320003,Adrienne Foster,House,KS-03,R,200,0,Kansas 3,R+4,Sharice Davids,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KS-03-foster_adrienne-,@FosterforKansas,NA,Adrienne Foster,Adrienne,first_last,NA,
711210001,Agatha Bacelar,House,CA-12,D,100,0,California 12,D+37,Nancy Pelosi,Democratic,1987 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-12-bacelar_agatha-,@AgathaBacelar,NA,Agatha Bacelar,Agatha,first_last,NA,
713120002,Agnes Gibboney,House,CA-31,R,200,0,California 31,D+8,Pete Aguilar,Democratic,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-31-gibboney_agnes-,@agnes_gibboney,NA,Agnes Gibboney,Agnes,first_last,NA,
491720001,Ahmad Adnan,House,TX-17,R,200,0,Texas 17,R+12,Bill Flores,Republican,2010,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-17-adnan_ahmad-,NA,NA,Ahmad Adnan,Ahmad,first_last,NA,
230610001,Aida Estrada Gray,House,MI-06,D,100,0,Michigan 6,R+4,Fred Upton,Republican,1986,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-06-gray_aidaestrada-,NA,NA,Aida Gray,Aida,mid_name,NA,
714120001,Aja Smith,House,CA-41,R,200,0,California 41,D+12,Mark Takano,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-41-smith_aja-,@AjaforCongress,NA,Aja Smith,Aja,first_last,NA,
20529,Al Green,House,TX-09,D,100,1,Texas 9,D+29,Al Green,Democratic,2004,Incumbent running.,NA,"GREEN, Al",G000553,1947,-0.438,0.312,-24.90647,0.96404,680,12,-0.398,-0.069,NA,NA,TX-09-green_al-,@RepAlGreenTX,@RepAlGreen,Al Green,Al,first_last,NA,
21732,Al Lawson,House,FL-05,D,100,1,Florida 5,D+12,Al Lawson,Democratic,2016,Incumbent's intent unknown.,NA,"LAWSON, Alfred Jr.",L000586,1948,-0.253,0.082,-30.02606,0.95559,661,13,-0.246,0.077,NA,NA,FL-05-lawson_al-,@AlLawsonJr,@RepAlLawsonJr,Al Lawson,Al,first_last,NA,
231320001,Al Lemmo,House,MI-13,R,200,0,Michigan 13,D+32,Rashida Tlaib,Democratic,2018,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-13-lemmo_al-,@lemmotocongress,NA,Al Lemmo,Al,first_last,NA,
241210004,Alaina Shearer,House,OH-12,D,100,0,Ohio 12,R+7,Troy Balderson,Republican,2018 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH-12-shearer_alaina-,@VoteAlaina2020,NA,Alaina Shearer,Alaina,first_last,NA,
431510002,Alan Cohn,House,FL-15,D,100,0,Florida 15,R+6,Ross Spano,Republican,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-15-cohn_alan-,Alan Cohn,NA,Alan Cohn,Alan,first_last,NA,
470220005,Alan D. Swain,House,NC-02,R,200,0,North Carolina 2,D+9,George Holding,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC-02-swain_alan-,@swain4congress,NA,Alan Swain,Alan,mid_init,NA,
230820002,Alan Hoover,House,MI-08,R,200,0,Michigan 8,R+4,Elissa Slotkin,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-08-hoover_alan-,@hoover_8,NA,Alan Hoover,Alan,first_last,NA,
30410004,Alan Khazei,House,MA-04,D,100,0,Massachusetts 4,D+9,Joe Kennedy III,Democratic,2012,Incumbent retiring to run for U.S. senator.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA-04-khazei_alan-,@AlanKhazei,NA,Alan Khazei,Alan,first_last,NA,
21313,Alan Lowenthal,House,CA-47,D,100,1,California 47,D+13,Alan Lowenthal,Democratic,2012,Incumbent running.,NA,"LOWENTHAL, Alan",L000579,1941,-0.45,-0.37,-11.85083,0.9828,683,3,-0.471,-0.53,NA,NA,CA-47-lowenthal_alan-,@alanlowenthal,@RepLowenthal,Alan Lowenthal,Alan,first_last,NA,
430510001,Albert Chester,House,FL-05,D,100,0,Florida 5,D+12,Al Lawson,Democratic,2016,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-05-chester_albert-,@AlbertChester21,NA,Albert Chester,Albert,first_last,NA,
720310005,Albert Lee,House,OR-03,D,100,0,Oregon 3,D+24,Earl Blumenauer,Democratic,1996,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OR-03-lee_albert-,@albertlee2020,NA,Albert Lee,Albert,first_last,NA,
713310003,Albert Maxwell Goldberg,House,CA-33,D,100,0,California 33,D+16,Ted Lieu,Democratic,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-33-goldberg_albertmaxwell-,NA,NA,Albert Goldberg,Albert,mid_name,NA,
471120017,Albert Wiley Jr.,House,NC-11,R,200,0,North Carolina 11,R+9,Mark Meadows,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC-11-wileyjr_albert-,NA,NA,Albert Wiley,Albert,junior,NA,
20542,Albio Sires,House,NJ-08,D,100,1,New Jersey 8,D+27,Albio Sires,Democratic,2006,Incumbent's intent unknown.,NA,"SIRES, Albio",S001165,1951,-0.405,0.095,-11.99004,0.98197,659,4,-0.401,0.105,NA,NA,NJ-08-sires_albio-,@AlbioSiresNJ,@RepSires,Albio Sires,Albio,first_last,NA,
29337,Alcee Hastings,House,FL-20,D,100,1,Florida 20,D+31,Alcee Hastings,Democratic,1992,Incumbent running.,NA,"HASTINGS, Alcee Lamar",H000324,1936,-0.564,0.158,-13.29626,0.97355,496,4,-0.488,0.226,NA,NA,FL-20-hastings_alcee-,@alcee4congress,@RepHastingsFL,Alcee Hastings,Alcee,first_last,NA,
720420006,Alek Skarlatos,House,OR-04,R,200,0,Oregon 4,EVEN,Peter DeFazio,Democratic,1986,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OR-04-skarlatos_alek-,@alekskarlatos,NA,Alek Skarlatos,Alek,first_last,NA,
30110001,Alex B. Morse,House,MA-01,D,100,0,Massachusetts 1,D+12,Richard Neal,Democratic,1988,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA-01-morse_alex-,@AlexBMorse,NA,Alex Morse,Alex,mid_init,NA,
21557,Alex Mooney,House,WV-02,R,200,1,West Virginia 2,R+17,Alex Mooney,Republican,2014,Incumbent running.,NA,"MOONEY, Alex X.",M001195,1971,0.578,-0.287,-152.12459,0.79954,680,68,0.573,-0.266,NA,NA,WV-02-mooney_alex-,@RepAlexMooney,NA,Alex Mooney,Alex,first_last,NA,
650332803,Alex Pereszlenyi,House,NV-03,I,328,0,Nevada 3,R+2,Susie Lee,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV-03-pereszlenyi_alex-,NA,NA,Alex Pereszlenyi,Alex,first_last,NA,
720210012,Alex Spenser,House,OR-02,D,100,0,Oregon 2,R+11,Greg Walden,Republican,1998,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OR-02-spenser_alex-,@spenser2020,NA,Alex Spenser,Alex,first_last,NA,
130910001,Alexander Hubbard,House,NY-09,D,100,0,New York 9,D+34,Yvette Clarke,Democratic,2006,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-09-hubbard_alexander-,NA,NA,Alexander Hubbard,Alexander,first_last,NA,
510410004,Alexandra Owensby,House,KY-04,D,100,0,Kentucky 4,R+18,Thomas Massie,Republican,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KY-04-owensby_alexandra-,@AMOwensby,NA,Alexandra Owensby,Alexandra,first_last,NA,
21949,Alexandria Ocasio-Cortez,House,NY-14,D,100,1,New York 14,D+29,Alexandria Ocasio-Cortez,Democratic,2018,Incumbent's intent unknown.,NA,"OCASIO-CORTEZ, Alexandria",O000172,1989,-0.226,-0.974,-57.02206,0.91956,680,22,-0.225,-0.974,NA,NA,NY-14-ocasio-cortez_alexandria-,@AOC,@RepAOC,Alexandria Ocasio-Cortez,Alexandria,first_last,NA,
660320007,Alexis Johnson,House,NM-03,R,200,0,New Mexico 3,D+8,Ben Ray Lujan,Democratic,2008,Incumbent retiring to run for U.S. senator.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NM-03-johnson_alexis-,@alexisjohnsonnm,NA,Alexis Johnson,Alexis,first_last,NA,
492320012,Alia Ureste,House,TX-23,R,200,0,Texas 23,R+1,Will Hurd,Republican,2014,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-23-ureste_alia-,@ureste4congress,NA,Alia Ureste,Alia,first_last,NA,
520710003,Alicia D. Brown,House,MD-07,D,100,0,Maryland 7,D+26,Vacant,Vacant,2020,Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD-07-brown_alicia-,NA,NA,Alicia Brown,Alicia,mid_init,NA,
401020001,Aliscia Andrews,House,VA-10,R,200,0,Virginia 10,D+1,Jennifer Wexton,Democratic,2018,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA-10-andrews_aliscia-,@alisciaandrews,NA,Aliscia Andrews,Aliscia,first_last,NA,
711520003,Alison Hayden,House,CA-15,R,200,0,California 15,D+20,Eric Swalwell,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-15-hayden_alison-,@Alison4Congress,NA,Alison Hayden,Alison,first_last,NA,
431432804,Alix Toulme Jr.,House,FL-14,I,328,0,Florida 14,D+7,Kathy Castor,Democratic,2006,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-14-toulmejr_alix-,NA,NA,Alix Toulme,Alix,junior,NA,
431710001,Allen Ellison,House,FL-17,D,100,0,Florida 17,R+13,Greg Steube,Republican,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-17-ellison_allen-,@AllenLEllison,NA,Allen Ellison,Allen,first_last,NA,
220520006,Allen R. Davidson,House,IN-05,R,200,0,Indiana 5,R+9,Susan Brooks,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IN-05-davidson_allen-,NA,NA,Allen Davidson,Allen,mid_init,NA,
330520011,Alley Waterbury,House,MN-05,R,200,0,Minnesota 5,D+26,Ilhan Omar,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN-05-waterbury_alley-,@WaterburyAlley,NA,Alley Waterbury,Alley,first_last,NA,
131710008,Allison Fine,House,NY-17,D,100,0,New York 17,D+7,Nita Lowey,Democratic,1988,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-17-fine_allison-,@Afine,NA,Allison Fine,Allison,first_last,NA,
520110002,Allison Galbraith,House,MD-01,D,100,0,Maryland 1,R+14,Andy Harris,Republican,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD-01-galbraith_allison-,@AllisonforMD,NA,Allison Galbraith,Allison,first_last,NA,
21545,Alma Adams,House,NC-12,D,100,1,North Carolina 12,D+14,Alma Adams,Democratic,2014,Incumbent running.,NA,"ADAMS, Alma",A000370,1946,-0.466,0.012,-13.02947,0.98045,660,4,-0.423,-0.102,NA,NA,NC-12-adams_alma-,@AlmaforCongress,@RepAdams,Alma Adams,Alma,first_last,NA,
492320002,Alma Arredondo-Lynch,House,TX-23,R,200,0,Texas 23,R+1,Will Hurd,Republican,2014,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-23-arredondo-lynch_alma-,@arredondo_lynch,NA,Alma Arredondo-Lynch,Alma,first_last,NA,
120910001,Alp Basaran,House,NJ-09,D,100,0,New Jersey 9,D+16,Bill Pascrell,Democratic,1996,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ-09-basaran_alp-,@AlpBasaranNJ,NA,Alp Basaran,Alp,first_last,NA,
441010005,Alvin Spitzner,House,GA-10,D,100,0,Georgia 10,R+15,Jody Hice,Republican,2014,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA-10-spitzner_alvin-,NA,NA,Alvin Spitzner,Alvin,first_last,NA,
810032801,Alyse Galvin,House,AK-00,I,328,0,Alaska at-large,R+9,Don Young,Republican,1973 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK-00-galvin_alyse-,@AlyseGalvin,NA,Alyse Galvin,Alyse,first_last,NA,
320320001,Amanda Adkins,House,KS-03,R,200,0,Kansas 3,R+4,Sharice Davids,Democratic,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KS-03-adkins_amanda-,@adkins_2020,NA,Amanda Adkins,Amanda,first_last,NA,
230310003,Amanda Brunzell,House,MI-03,D,100,0,Michigan 3,R+6,Justin Amash,Independent,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI-03-brunzell_amanda-,@Albi4The3rd,NA,Amanda Brunzell,Amanda,first_last,NA,
431320005,Amanda Makki,House,FL-13,R,200,0,Florida 13,D+2,Charlie Crist,Democratic,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-13-makki_amanda-,@amandamakki,NA,Amanda Makki,Amanda,first_last,NA,
720110003,Amanda Siebe,House,OR-01,D,100,0,Oregon 1,D+9,Suzanne Bonamici,Democratic,2012 (Special),Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OR-01-siebe_amanda-,@SiebeforORD1,NA,Amanda Siebe,Amanda,first_last,NA,
250810001,Amanda Stuck,House,WI-08,D,100,0,Wisconsin 8,R+7,Mike Gallagher,Republican,2016,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI-08-stuck_amanda-,@AmandaStuck8,NA,Amanda Stuck,Amanda,first_last,NA,
540332801,Amber Hysell,House,TN-03,I,328,0,Tennessee 3,R+18,Chuck Fleischmann,Republican,2010,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TN-03-hysell_amber-,NA,NA,Amber Hysell,Amber,first_last,NA,
210110003,Ameena Matthews,House,IL-01,D,100,0,Illinois 1,D+27,Bobby Rush,Democratic,1992,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-01-matthews_ameena-,@AmeenaMatthews,NA,Ameena Matthews,Ameena,first_last,NA,
21304,Ami Bera,House,CA-07,D,100,1,California 7,D+3,Ami Bera,Democratic,2012,Incumbent running.,NA,"BERA, Ami",B001287,1965,-0.231,0.014,-26.06301,0.96256,683,11,-0.355,0.305,NA,NA,CA-07-bera_ami-,@BeraForCongress,@RepBera,Ami Bera,Ami,first_last,NA,
130532802,Amit Lal,House,NY-05,I,328,0,New York 5,D+37,Gregory Meeks,Democratic,1998,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-05-lal_amit-,NA,NA,Amit Lal,Amit,first_last,NA,
715010002,Ammar Campa-Najjar,House,CA-50,D,100,0,California 50,R+11,Vacant,Vacant,2020,Incumbent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-50-campa-najjar_ammar-,@ACampaNajjar,NA,Ammar Campa-Najjar,Ammar,first_last,NA,
120210005,Amy Kennedy,House,NJ-02,D,100,0,New Jersey 2,R+1,Jeff Van Drew,Republican,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ-02-kennedy_amy-,@AmyKennedy715,NA,Amy Kennedy,Amy,first_last,NA,
714720006,Amy Phan West,House,CA-47,R,200,0,California 47,D+13,Alan Lowenthal,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-47-west_amyphan-,@amyphanwest,NA,Amy West,Amy,mid_name,NA,
430320014,Amy Pope Wells,House,FL-03,R,200,0,Florida 3,R+9,Ted Yoho,Republican,2012,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-03-popewells_amy-,@AmyCongress,NA,Amy Pope Wells,Amy,last_name,NA,
720520005,Amy Ryan Courser,House,OR-05,R,200,0,Oregon 5,EVEN,Kurt Schrader,Democratic,2008,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OR-05-ryancourser_amy-,@AmyforOregon,NA,Amy Ryan Courser,Amy,last_name,NA,
121020004,Ana Rivera,House,NJ-10,R,200,0,New Jersey 10,D+36,Donald Payne Jr.,Democratic,2012,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ-10-rivera_ana-,NA,NA,Ana Rivera,Ana,first_last,NA,
714410004,Analilia Joya,House,CA-44,D,100,0,California 44,D+35,Nanette Barragan,Democratic,2016,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-44-joya_analilia-,NA,NA,Analilia Joya,Analilia,first_last,NA,
131610003,Andom Ghebreghiorgis,House,NY-16,D,100,0,New York 16,D+24,Eliot Engel,Democratic,1988,Incumbent's intent unknown.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-16-ghebreghiorgis_andom-,@AndomForNY,NA,Andom Ghebreghiorgis,Andom,first_last,NA,
